Date,Tasks,Category,Time,Task Code,Portfolio,Impact,Role Expectations,Notes, Sr. Director Comments
"February 6, 2026",YE Assessments,,30 min,General Admin,MX/SC,Medium,Capacity multiplication,Lia assesssment,
"February 6, 2026",1:1 Lindsey,Collaborator,30 min,General Admin,MX/SC,Medium,ALL,artifacts; SACP,
"February 6, 2026",Assortment Presentation Need,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,Medium,Delegation,presentation need for 2/18 meeting,
"February 9, 2026","YE Review / Assessment Focus (LS,MP)",Doer,3 hr,General Admin,MX/SC,Medium,Build bridges not silos,making progress feels good,
"February 9, 2026",Calibration Meeting,Collaborator,30 min,General Admin,MX/SC,Medium,Build bridges not silos,this felt lull compared to previous. Didn’t get to present on Rob S,
"February 9, 2026","Admin time (Diary, OneView Journal, Email, Teams Messages)",Doer,2 hr,General Admin,MX/SC,Medium,Build bridges not silos,,
"February 9, 2026",OKRs - Item Close Q4 & Review Q1,Collaborator,1 hr,General Admin,MX/SC,Medium,Build bridges not silos,Interesting debate on scoring,
"February 9, 2026",Journal update,Doer,30 min,General Admin,MX/SC,Medium,Build bridges not silos,,
2/10/26,Figma Make - Overview (lunch),Collaborator,1 hr,General Admin,KTD,Medium,Personal Professional Growth,"I am torn (how it will work, the cost, feasibility)",
2/10/26,Item Attribute - Stakeholder Connect,Collaborator,45 min,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Medium,Build bridges not silos,,
2/10/26,DesignOps Connect,Collaborator,1 hr,General Admin,Assortment,Medium,Build bridges not silos,good discussion on assessing PDs in the work,
2/10/26,S/I/A - Team Meeting,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Medium,ALL,"Overview of Jira, Uplifts, Many questions, A lot to cover.",
2/10/26,"Admin - Team meeting Mural, Journal Update",Collaborator,45 min,General Admin,Assortment,Medium,ALL,,
2/10/26,1:1 Nina - Review Assortment Presentation,Collaborator,45 min,Capital Expenses — The Work/Flows/Prototype,Assortment,Medium,Delivery of strategy document,1st draft of presentation for Assortment,
2/10/26,Q4 Merch Portfolio OKR Grade & Close,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Low,Build bridges not silos,,
2/10/26,1:1 Lindsey C,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,High,ALL,"Discuss draft for assortment, discuss her potential path as a pd or toward another career path.",
2/10/26,Assortment Leader Connect,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,Medium,Build bridges not silos,1st meeting with Sam Kelly; Oneview; How we realign to our business stakeholders and build back up that relationship,
2/10/26,Steven / Tom Connect (Artifcacts & IME),Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,Medium,ALL,IME Pid/PIM and artifacts,
2/10/26,1:1 Sam,Collaborator,30 min,General Admin,Assortment,Medium,ALL,Discuss Item …,
2/11/26,Compliance Training,Doer,1 hr,General Admin,KTD,Medium,Personal Professional Growth,redo the Jira training due to myinfo issue + other training - All training complete,
2/11/26,Scrum Boards - Find & Align for S/A/I,Doer,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,Medium,Standards & docs,Ensuring I understand and have the spaces for S/I/A,
2/11/26,Review Sharepoint Spaces for Artifacts,Collaborator,45 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,Medium,Standards & docs,I was supplied a few sharepoint directories. I am getting familiarized with how PMs are using them and organizing the files for our teams. I wanted to start digging where our teams are adding artifacts within.,
2/11/26,1:1 Juli Luebbe,Collaborator,30 min,General Admin,KTD,Medium,Build bridges not silos,Connect with Juli (qtrly),
2/11/26,AI Training - Jared & Pierce,Collaborator,1 hr,Training — Corp / Personal Dev,KTD,Medium,Personal Professional Growth,good overview but felt it might have been an intermediate presentation. I did share intro training for those asking to get grounded in using Claude.,
2/11/26,YE Review - Review new submitted feedback for Lia,Doer,15 min,General Admin,Supplier,Medium,Capacity multiplication,Former manager submitted info. I reviewed to begin making updates to my draft,
2/11/26,Support Facilitator Troubleshoot - Miranda,Collaborator,30 min,General Admin,MX/SC,Medium,Other,Seems there is a requirement to enable Faciliitation in Teams,
2/11/26,AI Drivers License,Doer,2.5 hr,Training — Corp / Personal Dev,KTD,Medium,Personal Professional Growth,Working through all the videos and assessments. I am into the 4th section which has sections within sections. I have completed 2 courses in Microsoft and signed up for Anthtropic's AI Fluency course. I think Antrhopic's course is optional.,
2/11/26,Admin - Mix,Doer,2.5 hr,Training — Corp / Personal Dev,MX/SC,Medium,ALL,"Sarah looking for PPT files, Journal, Review Todos for today",
2/11/26,Venus / RMS / Item Setup support,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Build bridges not silos,Christina S is seeking a designer to support some visuals. I am connecting her with Andrew to help mock up designs.,
2/11/26,WHS/RMS/IME - Mandy Sellers,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Build bridges not silos,"Mandy seeking connection across to help with her research and mapping. I helped connect her with Steven, Rob, and ensure she is connected with moises. Meeting to be scheduled.",
2/12/26,"Admin - Emails, Clear Calendar, Mgr. Diary",Doer,15 min,General Admin,MX/SC,Medium,Other,Starting the day trying to get a fresh start and look ahead to the upcoming days and next week.,
2/12/26,Prep for Office Hours with Jira,Doer,30 min,General Admin,MX/SC,Medium,Delivery of strategy document,I have questions for jira and pb. setting up a doc with questions and examples to walk through with CJ Jang.,
2/12/26,3rd party pres - updating template,Doer,1 hr,Training — Corp / Personal Dev,MX/SC,Medium,Other,updating content for presentation to leadership,
2/12/26,Roadmap Review for Item and Supplier,Collaborator,1 hr,Training — Corp / Personal Dev,MX/SC,Medium,Delivery of strategy document,roadmap overview and okr reviews,
2/13/26,"Admin - Emails, Clear Calendar, Mgr. Diary",Doer,1 hr,Training — Corp / Personal Dev,S/I/A,Medium,ALL,"catchup, reflect, document",
2/13/26,1:1 Beth Gray,Collaborator,30 min,ALL,MX/SC,Medium,Capacity multiplication,connect with Beth - topic AI work,
2/13/26,Jira Office Hours,Collaborator,1 hr,ProjEx  — OKR / Discovery & Agile Ceremonies,KTD,Medium,Standards & docs,Setting up dashboards for S/I/A. Asking questions for clarity,
2/13/26,YE Review - LS; JR,Collaborator,1 hr,General Admin,MX/SC,High,Capacity multiplication,YE Review updates in MyInfo,
2/13/26,"IME PDs Focus Alignment - (JR, RS, SS)",Collaborator,30 min,General Admin,MX/SC,High,Capacity multiplication,Team shifts. Aligning with team on who is on what.,
2/13/26,Item Data Connect (Emilia / Tom),Collaborator,30 min,ALL,MX/SC,Medium,Build bridges not silos,"Connect on current work, design needs and updates; Discovery document",
2/13/26,1:1 Miranda,Collaborator,30 min,ALL,Item,Medium,Capacity multiplication,Topic: SNAP; Personal Development,
2/13/26,1:1 Megan Richter,Collaborator,30 min,General Admin,KTD,Medium,Build bridges not silos,Catch up on work in CX and ties to our Portfolios,
2/13/26,1:1 Rob Sloan,Collaborator,30 min,ALL,Item,Medium,ALL,"Documentation, PID, Development plans",
2/13/26,1:1 David Oberholtzer,Collaborator,30 min,ALL,Item,Medium,ALL,Documentation and IWT,
2/13/26,Jira Dashboard / PB Dashboard,Doer,1 hr,ProjEx  — OKR / Discovery & Agile Ceremonies,MX/SC,High,Delivery of strategy document,Updating dashboard based on Office hours discussion.,
2/16/26,AI Drivers License / Multi-tasking,Doer,1.5 hr,ProjEx  — OKR / Discovery & Agile Ceremonies,MX/SC,¯\_(ツ)_/¯,Delivery of strategy document,Listended to more courses in the background. Some were applicable others not so much … Good background noise though.,
2/16/26,Nina /Lindsey - Presentation Discussion,Collaborator,1 hr,ProjEx  — OKR / Discovery & Agile Ceremonies,MX/SC,High,Delivery of strategy document,"Review presentation, assess content and visuals, provide recommendations.",
2/16/26,"YE Update and Save Reviews (LS, JR, LC, NL)",Doer,3 hr,ProjEx  — OKR / Discovery & Agile Ceremonies,MX/SC,High,Delivery of strategy document,Saved into myInfo. Updated others,
2/16/26,Rob S - APT Request,Doer,15 min,ProjEx  — OKR / Discovery & Agile Ceremonies,MX/SC,High,Delivery of strategy document,"APT requests, Email responses for request",
2/16/26,1:1 Jenna R,Collaborator,30 min,ProjEx  — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Delivery of strategy document,"connect with Jenna. We discussed OOD Facilitation, Fresh Research, Luma Facilitation",
2/16/26,Update Jira Dashboard,Doer,15 min,ProjEx  — OKR / Discovery & Agile Ceremonies,S/I/A,Medium,Delivery of strategy document,I was provided more access. I updated the jql and dashboard to visualize the team,
2/16/26,1:1 Lia,Collaborator,30 min,ALL,Supplier,High,ALL,"topics: artifacts, RFI, support needs for RFI.",
2/16/26,Set up Claude Code!,Doer,45 min,General Admin,KTD,¯\_(ツ)_/¯,Personal Professional Growth,"finished some claude code training, set up api key; set up claude code! Woo!",
2/16/26,"Admin - Email, Journal, Diary",Doer,30 min,General Admin,MX/SC,Medium,ALL,"journal, emails, manage calendar for the week, OneView approvals; complete daily diary.",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
